latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
64.64723,24.42758,309.43,0.45,0.47,2026-05-16,13,N,VIIRS,n,2.0NRT,267.02,2.1,N
64.64786,24.42177,298.69,0.45,0.47,2026-05-16,13,N,VIIRS,n,2.0NRT,266.87,2.94,N
64.66596,21.28699,336.5,0.56,0.52,2026-05-16,13,N,VIIRS,n,2.0NRT,278.63,6.11,N
64.66645,21.27496,299.5,0.56,0.52,2026-05-16,13,N,VIIRS,n,2.0NRT,276.5,6.11,N
65.56187,22.22952,298.03,0.54,0.51,2026-05-16,13,N,VIIRS,n,2.0NRT,277.25,2.95,N
65.56236,22.21787,334.95,0.54,0.51,2026-05-16,13,N,VIIRS,n,2.0NRT,278.04,2.95,N
65.76391,24.18106,333.27,0.48,0.48,2026-05-16,13,N,VIIRS,n,2.0NRT,273.62,4.93,N
65.76776,24.19309,319.11,0.47,0.48,2026-05-16,13,N,VIIRS,n,2.0NRT,272.76,1.65,N
65.76833,24.18269,305.59,0.48,0.48,2026-05-16,13,N,VIIRS,n,2.0NRT,273.37,1.65,N
66.31425,14.17473,296.67,0.46,0.63,2026-05-16,13,N,VIIRS,n,2.0NRT,278.27,1.32,N
47.01075,29.08383,296.3,0.39,0.36,2026-05-16,18,N,VIIRS,n,2.0NRT,279.93,0.46,N
47.01402,29.08498,305.83,0.39,0.36,2026-05-16,18,N,VIIRS,n,2.0NRT,280.91,0.62,N
47.78597,29.01736,295.05,0.39,0.36,2026-05-16,18,N,VIIRS,n,2.0NRT,282.62,0.47,N
47.78941,28.95422,314.5,0.38,0.36,2026-05-16,18,N,VIIRS,n,2.0NRT,283.98,1.58,N
48.60615,21.1781,315.83,0.39,0.44,2026-05-16,18,N,VIIRS,n,2.0NRT,262.29,1.99,N
50.29472,28.22247,321.26,0.39,0.36,2026-05-16,18,N,VIIRS,n,2.0NRT,276.99,1.32,N
50.54296,26.26098,295.75,0.42,0.38,2026-05-16,18,N,VIIRS,n,2.0NRT,270.43,0.88,N
51.25283,26.62504,301.21,0.42,0.37,2026-05-16,18,N,VIIRS,n,2.0NRT,265.26,0.85,N
51.25388,26.62564,307.69,0.42,0.38,2026-05-16,18,N,VIIRS,n,2.0NRT,266.02,0.81,N
52.84599,29.99024,320.47,0.39,0.36,2026-05-16,18,N,VIIRS,n,2.0NRT,283.17,19.22,N
53.52044,9.89939,297.03,0.64,0.72,2026-05-16,18,N,VIIRS,n,2.0NRT,266.75,0.79,N
39.86411,26.24377,319.23,0.39,0.36,2026-05-16,20,N,VIIRS,n,2.0NRT,286.73,1.99,N
39.86739,26.24469,311.93,0.39,0.36,2026-05-16,20,N,VIIRS,n,2.0NRT,287.64,1.37,N
40.18466,29.22747,296.63,0.44,0.39,2026-05-16,20,N,VIIRS,n,2.0NRT,283.92,0.27,N
40.24276,29.9249,295.73,0.47,0.4,2026-05-16,20,N,VIIRS,n,2.0NRT,281.2,0.66,N
40.28375,23.44327,298.55,0.41,0.37,2026-05-16,20,N,VIIRS,n,2.0NRT,285.73,0.59,N
40.44351,27.13798,318.3,0.39,0.36,2026-05-16,20,N,VIIRS,n,2.0NRT,286.89,1.75,N
40.68668,20.72816,300.03,0.5,0.41,2026-05-16,20,N,VIIRS,n,2.0NRT,279.97,1.35,N
40.7574,29.75989,306.02,0.45,0.39,2026-05-16,20,N,VIIRS,n,2.0NRT,286.81,1.59,N
40.75758,29.35972,297.75,0.44,0.38,2026-05-16,20,N,VIIRS,n,2.0NRT,286.47,0.53,N
40.76492,29.52816,307.47,0.45,0.39,2026-05-16,20,N,VIIRS,n,2.0NRT,287.32,1.19,N
40.76841,29.52929,307.8,0.45,0.39,2026-05-16,20,N,VIIRS,n,2.0NRT,287.71,1.19,N
40.78089,29.59957,308.75,0.45,0.39,2026-05-16,20,N,VIIRS,n,2.0NRT,287.25,1.7,N
40.80263,29.37036,301.87,0.44,0.38,2026-05-16,20,N,VIIRS,n,2.0NRT,286.56,1.0,N
41.01948,28.55633,315.11,0.42,0.37,2026-05-16,20,N,VIIRS,n,2.0NRT,285.66,0.89,N
41.02148,28.55886,308.3,0.42,0.37,2026-05-16,20,N,VIIRS,n,2.0NRT,285.95,0.61,N
41.02238,28.55397,299.4,0.42,0.37,2026-05-16,20,N,VIIRS,n,2.0NRT,284.5,0.61,N
41.02286,28.55743,300.75,0.42,0.37,2026-05-16,20,N,VIIRS,n,2.0NRT,285.64,0.89,N
41.63041,27.68542,300.04,0.4,0.37,2026-05-16,20,N,VIIRS,n,2.0NRT,283.43,0.94,N
41.63396,22.44082,317.95,0.44,0.39,2026-05-16,20,N,VIIRS,n,2.0NRT,282.73,1.84,N
41.63475,27.50814,300.84,0.39,0.36,2026-05-16,20,N,VIIRS,n,2.0NRT,283.32,0.84,N
41.63587,22.44242,327.53,0.44,0.39,2026-05-16,20,N,VIIRS,n,2.0NRT,284.62,3.62,N
41.63652,22.43716,327.83,0.44,0.39,2026-05-16,20,N,VIIRS,n,2.0NRT,285.22,3.62,N
41.63747,22.4417,334.32,0.44,0.39,2026-05-16,20,N,VIIRS,n,2.0NRT,286.07,3.7,N
41.79649,26.7008,300.15,0.39,0.36,2026-05-16,20,N,VIIRS,n,2.0NRT,283.12,0.73,N
42.59127,23.10094,299.38,0.43,0.38,2026-05-16,20,N,VIIRS,n,2.0NRT,283.3,0.8,N
42.7164,24.17037,331.88,0.41,0.37,2026-05-16,20,N,VIIRS,n,2.0NRT,283.96,3.65,N
43.23281,27.5957,303.32,0.39,0.36,2026-05-16,20,N,VIIRS,n,2.0NRT,283.18,0.95,N
44.0817,22.1028,297.44,0.48,0.4,2026-05-16,20,N,VIIRS,n,2.0NRT,283.09,1.13,N
44.24108,28.31169,296.39,0.39,0.36,2026-05-16,20,N,VIIRS,n,2.0NRT,284.71,0.53,N
45.12427,25.41846,308.39,0.4,0.37,2026-05-16,20,N,VIIRS,n,2.0NRT,281.94,1.35,N
45.95135,25.28149,307.72,0.41,0.37,2026-05-16,20,N,VIIRS,n,2.0NRT,281.13,1.16,N
45.95312,22.86751,300.82,0.47,0.4,2026-05-16,20,N,VIIRS,n,2.0NRT,280.23,0.91,N
46.89685,26.03147,301.08,0.4,0.37,2026-05-16,20,N,VIIRS,n,2.0NRT,279.46,1.04,N
37.86163,29.37487,298.82,0.48,0.4,2026-05-16,22,N,VIIRS,n,2.0NRT,284.09,0.94,N
38.42596,27.21468,313.18,0.41,0.37,2026-05-16,22,N,VIIRS,n,2.0NRT,288.42,1.4,N
38.45637,27.26222,298.84,0.41,0.37,2026-05-16,22,N,VIIRS,n,2.0NRT,287.64,0.77,N
38.73006,26.93117,309.48,0.4,0.37,2026-05-16,22,N,VIIRS,n,2.0NRT,285.65,0.92,N
38.73751,26.92856,328.91,0.4,0.37,2026-05-16,22,N,VIIRS,n,2.0NRT,288.47,2.22,N
38.73767,26.94769,305.8,0.4,0.37,2026-05-16,22,N,VIIRS,n,2.0NRT,290.72,1.09,N
38.73847,26.94313,304.92,0.4,0.37,2026-05-16,22,N,VIIRS,n,2.0NRT,289.38,1.09,N
38.74084,26.92952,328.55,0.4,0.37,2026-05-16,22,N,VIIRS,n,2.0NRT,290.51,1.35,N
38.74101,26.94864,322.01,0.4,0.37,2026-05-16,22,N,VIIRS,n,2.0NRT,289.82,1.09,N
38.74418,26.93047,298.11,0.4,0.37,2026-05-16,22,N,VIIRS,n,2.0NRT,286.01,1.35,N
38.7534,26.93785,316.52,0.4,0.37,2026-05-16,22,N,VIIRS,n,2.0NRT,287.95,1.42,N
39.09296,27.51355,300.96,0.41,0.37,2026-05-16,22,N,VIIRS,n,2.0NRT,285.52,1.39,N
39.1123,27.52424,301.4,0.41,0.37,2026-05-16,22,N,VIIRS,n,2.0NRT,285.09,0.56,N
39.16708,27.63101,301.02,0.41,0.37,2026-05-16,22,N,VIIRS,n,2.0NRT,285.25,0.65,N
40.41647,17.30767,308.51,0.48,0.48,2026-05-16,22,N,VIIRS,n,2.0NRT,287.26,1.35,N
40.50281,17.2156,303.5,0.49,0.48,2026-05-16,22,N,VIIRS,n,2.0NRT,289.17,1.3,N
40.50777,17.21047,310.49,0.49,0.48,2026-05-16,22,N,VIIRS,n,2.0NRT,288.69,2.24,N
65.56225,22.22677,336.35,0.45,0.39,2026-05-16,154,N,VIIRS,n,2.0NRT,279.31,4.63,D
65.56425,22.21798,336.76,0.45,0.39,2026-05-16,154,N,VIIRS,n,2.0NRT,280.27,4.63,D
52.84596,29.98825,302.04,0.72,0.76,2026-05-16,156,N,VIIRS,n,2.0NRT,278.79,1.68,N
59.12853,9.62407,295.74,0.38,0.36,2026-05-16,156,N,VIIRS,n,2.0NRT,277.46,0.32,N
61.77333,5.29971,297.35,0.44,0.38,2026-05-16,156,N,VIIRS,n,2.0NRT,279.8,0.94,N
63.31773,9.14301,303.26,0.4,0.37,2026-05-16,156,N,VIIRS,n,2.0NRT,280.44,1.19,N
50.65361,11.42916,296.57,0.54,0.42,2026-05-16,158,N,VIIRS,n,2.0NRT,274.47,1.16,N
51.06824,6.83306,295.85,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,277.19,0.41,N
51.36486,6.71046,301.77,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,279.27,1.9,N
51.36584,6.7049,331.97,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,279.96,2.51,N
51.36912,6.7064,308.67,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,280.89,2.51,N
51.4244,6.73816,300.96,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,277.71,1.12,N
51.48045,6.72157,317.99,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,276.72,1.61,N
51.48144,6.71599,327.21,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,277.81,1.86,N
51.48243,6.71042,300.72,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,276.47,1.86,N
51.48341,6.70485,328.89,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,282.12,5.35,N
51.48373,6.72306,304.08,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,278.6,1.61,N
51.4857,6.71191,306.65,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,278.91,1.86,N
51.4867,6.71323,302.52,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,278.24,0.74,N
51.487,6.73143,295.76,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,278.54,0.54,N
51.48769,6.70768,297.57,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,278.05,0.74,N
51.49027,6.73292,310.56,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,277.7,1.82,N
51.49355,6.73441,319.93,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,278.87,1.82,N
51.49583,6.74147,336.08,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,282.89,4.6,N
51.49781,6.73034,297.91,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,278.47,0.64,N
51.4988,6.72479,304.72,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,278.72,0.64,N
51.50208,6.72628,300.31,0.4,0.37,2026-05-16,158,N,VIIRS,n,2.0NRT,282.73,0.64,N
51.87492,4.29651,297.5,0.39,0.36,2026-05-16,158,N,VIIRS,n,2.0NRT,281.3,0.66,N
51.94421,4.1084,298.34,0.39,0.36,2026-05-16,158,N,VIIRS,n,2.0NRT,282.53,0.86,N
52.15103,10.40574,298.66,0.46,0.39,2026-05-16,158,N,VIIRS,n,2.0NRT,274.34,1.27,N
52.1524,10.39919,308.47,0.46,0.39,2026-05-16,158,N,VIIRS,n,2.0NRT,274.82,1.27,N
52.15451,10.40766,319.39,0.46,0.39,2026-05-16,158,N,VIIRS,n,2.0NRT,277.79,3.45,N
52.15587,10.40112,328.76,0.46,0.39,2026-05-16,158,N,VIIRS,n,2.0NRT,276.79,3.45,N
52.15798,10.40959,317.56,0.46,0.39,2026-05-16,158,N,VIIRS,n,2.0NRT,278.54,3.45,N
52.16009,10.41805,295.56,0.47,0.39,2026-05-16,158,N,VIIRS,n,2.0NRT,277.28,1.19,N
52.16357,10.41997,308.95,0.47,0.39,2026-05-16,158,N,VIIRS,n,2.0NRT,279.32,1.19,N
52.40193,12.49559,302.21,0.53,0.42,2026-05-16,158,N,VIIRS,n,2.0NRT,279.19,1.01,N
52.47779,4.58468,302.4,0.39,0.36,2026-05-16,158,N,VIIRS,n,2.0NRT,280.36,0.76,N
52.48344,4.59295,321.14,0.39,0.36,2026-05-16,158,N,VIIRS,n,2.0NRT,279.91,2.57,N
52.4843,4.58737,303.49,0.39,0.36,2026-05-16,158,N,VIIRS,n,2.0NRT,279.36,0.76,N
52.49063,4.61374,306.49,0.38,0.36,2026-05-16,158,N,VIIRS,n,2.0NRT,277.25,2.0,N
52.49216,4.62625,301.46,0.38,0.36,2026-05-16,158,N,VIIRS,n,2.0NRT,278.46,0.9,N
52.49389,4.61509,330.37,0.38,0.36,2026-05-16,158,N,VIIRS,n,2.0NRT,283.55,2.0,N
52.49475,4.60951,307.34,0.38,0.36,2026-05-16,158,N,VIIRS,n,2.0NRT,279.05,2.0,N
52.49688,4.61141,312.93,0.38,0.36,2026-05-16,158,N,VIIRS,n,2.0NRT,279.67,1.24,N
53.34007,-1.75035,301.1,0.54,0.42,2026-05-16,158,N,VIIRS,n,2.0NRT,277.53,1.27,N
53.39959,-1.38441,305.92,0.52,0.42,2026-05-16,158,N,VIIRS,n,2.0NRT,277.64,0.58,N
47.17289,7.55932,302.85,0.46,0.39,2026-05-16,200,N,VIIRS,n,2.0NRT,275.69,1.45,N
47.17639,7.56088,304.13,0.46,0.39,2026-05-16,200,N,VIIRS,n,2.0NRT,276.94,1.45,N
47.28596,0.78829,305.11,0.4,0.37,2026-05-16,200,N,VIIRS,n,2.0NRT,277.11,1.01,N
50.95736,5.79703,299.71,0.39,0.36,2026-05-16,200,N,VIIRS,n,2.0NRT,277.12,0.55,N
50.9704,5.80265,340.64,0.39,0.36,2026-05-16,200,N,VIIRS,n,2.0NRT,278.06,6.89,N
50.97366,5.80405,329.98,0.39,0.36,2026-05-16,200,N,VIIRS,n,2.0NRT,278.27,6.89,N
51.02811,2.27343,313.48,0.4,0.37,2026-05-16,200,N,VIIRS,n,2.0NRT,277.09,1.31,N
51.0289,2.26779,298.16,0.4,0.37,2026-05-16,200,N,VIIRS,n,2.0NRT,279.18,1.48,N
51.03204,2.24521,330.5,0.4,0.37,2026-05-16,200,N,VIIRS,n,2.0NRT,278.22,4.03,N
51.03321,2.28706,319.34,0.4,0.37,2026-05-16,200,N,VIIRS,n,2.0NRT,278.54,2.01,N
51.03459,2.25202,308.74,0.4,0.37,2026-05-16,200,N,VIIRS,n,2.0NRT,276.12,1.48,N
51.03478,2.27578,297.94,0.4,0.37,2026-05-16,200,N,VIIRS,n,2.0NRT,277.56,1.1,N
51.03654,2.28823,313.79,0.4,0.37,2026-05-16,200,N,VIIRS,n,2.0NRT,279.74,1.58,N
51.04242,2.29621,302.38,0.4,0.37,2026-05-16,200,N,VIIRS,n,2.0NRT,281.2,3.55,N
51.04321,2.29057,330.99,0.4,0.37,2026-05-16,200,N,VIIRS,n,2.0NRT,280.27,3.55,N
51.04497,2.30302,302.07,0.4,0.37,2026-05-16,200,N,VIIRS,n,2.0NRT,277.66,0.83,N
51.04576,2.29738,334.49,0.4,0.37,2026-05-16,200,N,VIIRS,n,2.0NRT,281.2,3.55,N
51.16566,3.8124,328.8,0.39,0.36,2026-05-16,200,N,VIIRS,n,2.0NRT,278.5,6.07,N
51.16649,3.80695,316.74,0.39,0.36,2026-05-16,200,N,VIIRS,n,2.0NRT,278.46,1.81,N
51.16682,4.3314,300.67,0.38,0.36,2026-05-16,200,N,VIIRS,n,2.0NRT,275.0,1.08,N
51.1681,3.8191,307.91,0.39,0.36,2026-05-16,200,N,VIIRS,n,2.0NRT,278.26,1.99,N
51.16893,3.81366,329.17,0.39,0.36,2026-05-16,200,N,VIIRS,n,2.0NRT,280.63,1.99,N
51.16976,3.80822,322.32,0.39,0.36,2026-05-16,200,N,VIIRS,n,2.0NRT,280.08,3.35,N
51.1706,3.80277,311.62,0.39,0.36,2026-05-16,200,N,VIIRS,n,2.0NRT,281.03,3.35,N
51.17303,3.80948,346.27,0.39,0.36,2026-05-16,200,N,VIIRS,n,2.0NRT,285.89,3.35,N
51.17386,3.80403,332.76,0.39,0.36,2026-05-16,200,N,VIIRS,n,2.0NRT,280.07,3.35,N
51.1763,3.81074,300.53,0.39,0.36,2026-05-16,200,N,VIIRS,n,2.0NRT,279.4,0.74,N
51.26707,4.32633,297.03,0.38,0.36,2026-05-16,200,N,VIIRS,n,2.0NRT,279.93,0.88,N
36.86286,6.95908,297.36,0.46,0.47,2026-05-16,202,N,VIIRS,n,2.0NRT,282.02,0.74,N
38.20284,15.26618,298.27,0.57,0.69,2026-05-16,202,N,VIIRS,n,2.0NRT,287.0,1.59,N
38.37692,-0.54377,302.45,0.38,0.36,2026-05-16,202,N,VIIRS,n,2.0NRT,284.97,1.01,N
38.91994,-9.01192,310.08,0.52,0.5,2026-05-16,202,N,VIIRS,n,2.0NRT,286.53,2.65,N
38.92154,-9.0116,311.17,0.52,0.5,2026-05-16,202,N,VIIRS,n,2.0NRT,286.25,2.07,N
39.93592,-3.74761,296.4,0.45,0.39,2026-05-16,202,N,VIIRS,n,2.0NRT,278.05,0.67,N
40.5052,17.20886,308.91,0.61,0.71,2026-05-16,202,N,VIIRS,n,2.0NRT,284.87,2.16,N
40.57795,0.54375,295.38,0.38,0.36,2026-05-16,202,N,VIIRS,n,2.0NRT,284.59,0.7,N
41.3079,0.62301,296.89,0.38,0.36,2026-05-16,202,N,VIIRS,n,2.0NRT,278.69,0.73,N
41.45585,1.97864,297.62,0.39,0.36,2026-05-16,202,N,VIIRS,n,2.0NRT,282.23,0.49,N
41.47671,-1.48928,298.76,0.4,0.37,2026-05-16,202,N,VIIRS,n,2.0NRT,278.93,0.62,N
41.53596,-3.11925,297.05,0.45,0.39,2026-05-16,202,N,VIIRS,n,2.0NRT,275.13,1.18,N
41.53885,-3.11308,298.1,0.45,0.39,2026-05-16,202,N,VIIRS,n,2.0NRT,274.53,1.1,N
41.92481,0.17983,300.49,0.39,0.36,2026-05-16,202,N,VIIRS,n,2.0NRT,280.79,0.62,N
42.5514,-6.76822,300.55,0.44,0.46,2026-05-16,202,N,VIIRS,n,2.0NRT,277.88,1.16,N
42.55359,-6.76718,298.03,0.44,0.46,2026-05-16,202,N,VIIRS,n,2.0NRT,278.56,0.4,N
43.18637,0.99157,301.71,0.38,0.36,2026-05-16,202,N,VIIRS,n,2.0NRT,280.28,0.64,N
43.4349,4.89357,308.89,0.43,0.38,2026-05-16,202,N,VIIRS,n,2.0NRT,280.69,0.96,N
43.43935,4.88955,313.61,0.43,0.38,2026-05-16,202,N,VIIRS,n,2.0NRT,281.36,1.19,N
43.44278,4.89079,298.4,0.43,0.38,2026-05-16,202,N,VIIRS,n,2.0NRT,281.05,1.19,N
43.44521,4.89728,348.81,0.43,0.38,2026-05-16,202,N,VIIRS,n,2.0NRT,282.69,12.04,N
43.44622,4.89202,298.57,0.43,0.38,2026-05-16,202,N,VIIRS,n,2.0NRT,280.39,6.97,N
43.44865,4.89852,334.86,0.43,0.38,2026-05-16,202,N,VIIRS,n,2.0NRT,284.2,12.04,N
35.02507,-3.39302,295.47,0.4,0.37,2026-05-16,204,N,VIIRS,n,2.0NRT,284.51,0.67,N
35.0257,-3.39742,296.11,0.4,0.37,2026-05-16,204,N,VIIRS,n,2.0NRT,284.63,0.67,N
35.31091,-1.34536,307.01,0.38,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,286.5,0.61,N
35.34789,5.76108,318.66,0.43,0.46,2026-05-16,204,N,VIIRS,n,2.0NRT,283.73,2.9,N
35.45937,-0.3955,302.67,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,285.04,0.82,N
35.50935,-0.59439,295.27,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,285.02,0.38,N
35.52794,-0.27855,305.3,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,286.13,0.85,N
35.53123,-0.27769,296.31,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,286.12,0.85,N
35.70858,4.47475,300.86,0.55,0.43,2026-05-16,204,N,VIIRS,n,2.0NRT,282.38,0.89,N
35.76138,-0.26817,297.34,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,287.26,1.07,N
35.76397,-0.26308,304.53,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,289.52,1.67,N
35.78313,0.53942,298.27,0.4,0.37,2026-05-16,204,N,VIIRS,n,2.0NRT,285.4,0.57,N
35.80305,-0.21426,297.69,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,287.41,0.74,N
35.80474,-0.24494,318.55,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,287.91,1.38,N
35.80688,-0.25774,305.71,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,286.48,0.75,N
35.80947,-0.25264,321.64,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,287.85,0.9,N
35.80993,-0.23474,300.01,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,288.44,0.72,N
35.81018,-0.2569,302.09,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,287.6,0.9,N
35.81303,-0.27395,295.63,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,285.46,0.39,N
35.81562,-0.26884,305.89,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,287.47,0.39,N
36.17954,-5.42547,298.99,0.48,0.4,2026-05-16,204,N,VIIRS,n,2.0NRT,287.64,1.17,N
36.18049,3.74906,296.87,0.5,0.41,2026-05-16,204,N,VIIRS,n,2.0NRT,280.46,0.96,N
36.59742,3.13905,295.65,0.47,0.4,2026-05-16,204,N,VIIRS,n,2.0NRT,284.17,0.58,N
36.59811,2.88081,299.13,0.46,0.39,2026-05-16,204,N,VIIRS,n,2.0NRT,283.36,0.98,N
36.67988,3.12262,301.59,0.47,0.39,2026-05-16,204,N,VIIRS,n,2.0NRT,285.82,0.99,N
36.74914,3.07987,315.64,0.46,0.39,2026-05-16,204,N,VIIRS,n,2.0NRT,284.62,1.03,N
36.96674,-1.90341,315.22,0.39,0.36,2026-05-16,204,N,VIIRS,n,2.0NRT,288.72,1.89,N
37.98834,-8.12396,309.03,0.45,0.47,2026-05-16,204,N,VIIRS,n,2.0NRT,281.81,1.26,N
38.62655,-9.07843,296.2,0.52,0.5,2026-05-16,204,N,VIIRS,n,2.0NRT,283.96,0.69,N
38.62777,-9.07886,302.19,0.52,0.5,2026-05-16,204,N,VIIRS,n,2.0NRT,284.71,1.43,N
38.63118,-9.07787,297.93,0.52,0.5,2026-05-16,204,N,VIIRS,n,2.0NRT,285.08,0.69,N
51.16538,3.81118,296.99,0.79,0.78,2026-05-16,338,N,VIIRS,n,2.0NRT,273.11,2.15,N
51.17388,3.80682,314.56,0.79,0.78,2026-05-16,338,N,VIIRS,n,2.0NRT,273.87,2.66,N
51.17572,3.80781,307.83,0.79,0.78,2026-05-16,338,N,VIIRS,n,2.0NRT,270.51,0.95,N
52.48202,4.59218,306.66,0.75,0.77,2026-05-16,338,N,VIIRS,n,2.0NRT,276.22,2.53,N
52.4898,4.61543,298.62,0.75,0.77,2026-05-16,338,N,VIIRS,n,2.0NRT,276.97,2.31,N
52.49382,4.60585,301.46,0.75,0.77,2026-05-16,338,N,VIIRS,n,2.0NRT,275.29,2.43,N
52.49508,4.61279,314.73,0.75,0.77,2026-05-16,338,N,VIIRS,n,2.0NRT,278.71,3.76,N
53.63425,-0.24446,301.22,0.46,0.64,2026-05-16,338,N,VIIRS,n,2.0NRT,279.52,1.58,N
53.63552,-0.24046,299.77,0.46,0.64,2026-05-16,338,N,VIIRS,n,2.0NRT,278.04,1.49,N
51.03424,2.29248,299.86,0.71,0.75,2026-05-16,340,N,VIIRS,n,2.0NRT,274.45,1.89,N
51.03518,2.28776,312.34,0.71,0.75,2026-05-16,340,N,VIIRS,n,2.0NRT,276.59,2.21,N
38.92082,-9.0126,298.64,0.62,0.71,2026-05-16,345,N,VIIRS,n,2.0NRT,283.53,1.14,N
38.92229,-9.00958,297.52,0.62,0.71,2026-05-16,345,N,VIIRS,n,2.0NRT,283.58,0.98,N
51.89226,29.34568,330.52,0.5,0.49,2026-05-16,1006,N,VIIRS,n,2.0NRT,298.75,5.45,D
64.66531,21.2811,327.15,0.52,0.42,2026-05-16,1011,N,VIIRS,n,2.0NRT,293.9,3.84,D
65.56297,22.2324,330.05,0.47,0.4,2026-05-16,1011,N,VIIRS,n,2.0NRT,295.32,1.96,D
65.56409,22.21896,334.84,0.47,0.4,2026-05-16,1011,N,VIIRS,n,2.0NRT,296.07,9.39,D
70.69241,23.59802,341.24,0.38,0.36,2026-05-16,1011,N,VIIRS,n,2.0NRT,286.69,1.98,D
70.69372,23.58387,277.45,0.38,0.36,2026-05-16,1011,N,VIIRS,l,2.0NRT,277.49,1.98,D
35.2075,11.1065,333.58,0.33,0.55,2026-05-16,1142,N,VIIRS,n,2.0NRT,293.81,1.14,D
36.86684,6.98331,344.1,0.49,0.65,2026-05-16,1145,N,VIIRS,n,2.0NRT,296.86,5.36,D
36.87037,6.98183,345.95,0.49,0.65,2026-05-16,1145,N,VIIRS,n,2.0NRT,297.62,5.93,D
37.43797,15.03125,331.97,0.55,0.43,2026-05-16,1145,N,VIIRS,l,2.0NRT,306.62,2.43,D
38.73785,26.93254,335.85,0.39,0.44,2026-05-16,1145,N,VIIRS,n,2.0NRT,301.04,3.63,D
39.08425,9.01916,326.38,0.34,0.56,2026-05-16,1145,N,VIIRS,l,2.0NRT,299.99,2.27,D
42.71494,24.17614,328.1,0.49,0.41,2026-05-16,1145,N,VIIRS,l,2.0NRT,301.27,3.71,D
42.79602,24.74964,329.53,0.52,0.42,2026-05-16,1145,N,VIIRS,n,2.0NRT,294.45,4.07,D
45.21222,28.85439,349.56,0.57,0.52,2026-05-16,1145,N,VIIRS,n,2.0NRT,295.89,18.12,D
45.21706,28.85383,336.59,0.57,0.52,2026-05-16,1145,N,VIIRS,n,2.0NRT,305.09,123.47,D
45.6121,9.40133,341.32,0.44,0.46,2026-05-16,1147,N,VIIRS,n,2.0NRT,293.42,2.8,D
45.61228,8.91762,340.69,0.46,0.47,2026-05-16,1147,N,VIIRS,n,2.0NRT,296.07,3.07,D
45.61248,8.91977,338.62,0.47,0.47,2026-05-16,1147,N,VIIRS,n,2.0NRT,297.28,2.48,D
48.36772,27.26052,329.45,0.52,0.5,2026-05-16,1147,N,VIIRS,n,2.0NRT,293.87,3.67,D
49.52829,12.80858,335.23,0.42,0.38,2026-05-16,1147,N,VIIRS,n,2.0NRT,288.36,3.05,D
49.65287,28.37817,343.09,0.6,0.53,2026-05-16,1147,N,VIIRS,n,2.0NRT,296.82,15.91,D
49.65331,28.38662,343.43,0.6,0.53,2026-05-16,1147,N,VIIRS,n,2.0NRT,295.01,22.79,D
49.6578,28.37759,344.54,0.6,0.53,2026-05-16,1147,N,VIIRS,n,2.0NRT,295.81,10.07,D
51.46299,13.53736,337.97,0.4,0.37,2026-05-16,1147,N,VIIRS,n,2.0NRT,295.6,3.96,D
51.59319,13.8176,357.05,0.39,0.36,2026-05-16,1147,N,VIIRS,n,2.0NRT,295.07,6.86,D
